item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
practice,practice,practice,practice,practice,practice,practice,practice,practice,Hochtrabend*daherkommend*erwähnte*der Profi:,"Ich*mutmaße,*dass*die Reparatur*trotz*der fairen Versicherung*teuer ist. ",practice,practice1rel1.jpg,practice1rel2.jpg,practice1unrel1.jpg,practice1unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Hochtrabend daherkommend erwähnte der Profi:
practice,practice,practice,practice,practice,practice,practice,practice,practice,Gut*gelaunt*sagte*die Studentin:,Ich*schreibe*später*meine Hausaufgaben*in der Bibliothek.,practice,practice2rel1.jpg,practice2rel2.jpg,practice2unrel1.jpg,practice2unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Gut gelaunt sagte die Studentin:
practice,practice,practice,practice,practice,practice,practice,practice,practice,Minimal*verunsichert*benannte*Anne:,"Ich*ahne,*dass*der Fleck*trotz*der starken Reinigung*bleibt.",practice,practice3rel1.jpg,practice3rel2.jpg,practice3unrel1.jpg,practice3unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Minimal verunsichert benannte Anne:
86,3,filler,WP2,7,low,high,mismatch,yes,Der Typ*verbreitete*auf WhatsApp:,Der Sportlehrer*tyrannisierte*den Wettläufer.,g,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_unrelated_1.jpg,Filler3_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Typ verbreitete auf WhatsApp:
79,51,filler,SocStat,2,high,high,match,no,Der Chef*lehnte*sich*mit der Vermutung*aus dem Fenster.,"Ich*nehme an,*dass*der Umsatz*trotz die miese Wirtschaftslage*schnell steigt.",b,Filler51_socstat_related_1.jpg,Filler51_socstat_unrelated_1.jpg,Filler51_socstat_unrelated_2.jpg,Filler51_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Chef lehnte sich mit der Vermutung aus dem Fenster.
93,7,filler,WP2,7,low,high,mismatch,yes,Der Besoffene*johlte*vor dem Fernseher:,Der Kriminalbeamte*übervorteilte*den Raubmörder.,g,Filler7_WP2_unrelated_2.jpg,Filler7_WP2_related_2.jpg,Filler7_WP2_unrelated_1.jpg,Filler7_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Besoffene johlte vor dem Fernseher:
5,5,critical,WP1,3,low,low,match,yes,Stark*unter Dampf*trötet*Moritz:,Ich*renoviere*später*meine Kammern*in dem Plattenbau.,c,Gemaecher-1.jpg,Kammern-1.jpg,Tassen-1.jpg,Poette-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Stark unter Dampf trötet Moritz:
19,19,critical,WP1,6,low,high,mismatch,no,Aktiv*mit*dabei*protzt*Lukas:,Ich*unterschreibe*jetzt*meinen Champagner*in dem Office.,f,Antrag-1.jpg,Wisch-1.jpg,Champagner-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Aktiv mit dabei protzt Lukas:
150,35,filler,WP2,8,low,high,mismatch,no,Die Paparazzi*faselten*die krassen News:,Der Radprofi*martern*den Rennfahrer.,h,Filler35_WP2_unrelated_2.jpg,Filler35_WP2_related_2.jpg,Filler35_WP2_related_1.jpg,Filler35_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Paparazzi faselten die krassen News:
98,9,filler,WP2,7,low,high,mismatch,yes,Die Bürotante*kritzelte*auf den Zettel:,Der Reiseleiter*erspähte*den Einzelgänger.,g,Filler9_WP2_related_1.jpg,Filler9_WP2_unrelated_2.jpg,Filler9_WP2_unrelated_1.jpg,Filler9_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Bürotante kritzelte auf den Zettel:
23,23,critical,WP1,5,low,low,match,no,Emsig*werkelnd*labert*Lars:,Ich*kämme*gleich*meine Pulle*bei dem Frisör.,e,Haare-1.jpg,Maehne-1.jpg,Flasche-1.jpg,Pulle-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Emsig werkelnd labert Lars:
137,29,filler,WP2,9,low,low,match,yes,Die Tratschtante*petzte*bei dem Hausmeister:,Der Wanderer*stresste*den Nachtportier.,i,Filler29_WP2_unrelated_2.jpg,Filler29_WP2_unrelated_1.jpg,Filler29_WP2_related_1.jpg,Filler29_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Tratschtante petzte bei dem Hausmeister:
121,21,filler,WP2,9,low,low,match,yes,Der alte Kauz*brabbelte*voller*Sorge:,Der Landwirt*wurmte*den Obsthändler.,i,Filler21_WP2_unrelated_2.jpg,Filler21_WP2_unrelated_1.jpg,Filler21_WP2_related_2.jpg,Filler21_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der alte Kauz brabbelte voller Sorge:
157,39,filler,WP2,8,low,high,mismatch,no,Die Touris*gaben*den Wink:,Der Fremdenführer*belügen*die Reisegruppe.,h,Filler39_WP2_related_1.jpg,Filler39_WP2_related_2.jpg,Filler39_WP2_unrelated_1.jpg,Filler39_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Touris gaben den Wink:
13,13,critical,WP1,6,low,high,mismatch,no,Astrein*hergerichtet*plappert*Maria:,Ich*schmiere*später*meine Fingernägel*in der Kochnische.,f,Butterbrote-1.jpg,Schnitten-1.jpg,Fingernaegel-1.jpg,Klauen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Astrein hergerichtet plappert Maria:
53,13,filler,SocStat,1,high,high,match,yes,Trotz*Technologisierung*arbeiten*viele*aus meiner Familie*in Fabriken.,"Ich*schätze,*dass*die Lieferung*wegen der heftigen Stürme*verspätet ist.",a,Filler13_socstat_unrelated_1.jpg,Filler13_socstat_unrelated_2.jpg,Filler13_socstat_related_1.jpg,Filler13_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Trotz Technologisierung arbeiten viele aus meiner Familie in Fabriken.
133,27,filler,WP2,9,low,low,match,yes,Die Landratten*zerkugelten*sich*über den Vorfall:,Der Kapitän*hänselte*den General.,i,Filler27_WP2_unrelated_1.jpg,Filler27_WP2_related_2.jpg,Filler27_WP2_unrelated_2.jpg,Filler27_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Landratten zerkugelten sich über den Vorfall:
67,34,filler,SocStat,2,high,high,match,no,Wir*sind*wegen*der guten Möglichkeiten*nach Leipzig*gezogen.,"Ich*behaupte,*dass*der Reifen*trotz*die kurze Reparatur*gerettet ist.",b,Filler34_socstat_related_2.jpg,Filler34_socstat_related_1.jpg,Filler34_socstat_unrelated_1.jpg,Filler34_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Wir sind wegen der guten Möglichkeiten nach Leipzig gezogen.
31,31,critical,WP1,4,low,high,mismatch,yes,Spitze*gedrillt*schnarrt*Klaus:,Ich*feuere*bald*meine Pistole*auf der Gasse.,d,Pistole-1.jpg,Knarre-1.jpg,Pillen-1.jpg,Arznei-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Spitze gedrillt schnarrt Klaus:
141,31,filler,WP2,8,low,high,mismatch,no,Die Zuschauer*schnackten*in der Pause:,Der Bengel*karikieren*den Flegel.,h,Filler31_WP2_related_1.jpg,Filler31_WP2_unrelated_2.jpg,Filler31_WP2_related_2.jpg,Filler31_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Zuschauer schnackten in der Pause:
114,17,filler,WP2,10,low,low,match,no,Die Sportlegende*laberte*nonstop:,Der Fechter*fighten*den Gegner.,j,Filler17_WP2_related_2.jpg,Filler17_WP2_unrelated_2.jpg,Filler17_WP2_unrelated_1.jpg,Filler17_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Sportlegende laberte nonstop:
75,47,filler,SocStat,2,high,high,match,no,Die Kleine*steckte*ihm*fix*die Neuigkeit.,"Ich*behaupte,*dass*der Wettkampf*trotz die kühle Witterung*wieder*stattfindet.",b,Filler47_socstat_related_1.jpg,Filler47_socstat_unrelated_1.jpg,Filler47_socstat_unrelated_2.jpg,Filler47_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Kleine steckte ihm fix die Neuigkeit.
9,9,critical,WP1,3,low,low,match,yes,Massig*betucht*schwafelt*Paula:,Ich*verschrotte*bald*meine Karren*neben der Müllkippe.,c,Beine-1.jpg,Stelzen-1.jpg,Autos-1.jpg,Karren-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massig betucht schwafelt Paula:
153,37,filler,WP2,8,low,high,mismatch,no,Die Sekretärin*wisperte*den Gossip:,Der Dekan*verunglimpfen*den Kanzler.,h,Filler37_WP2_related_2.jpg,Filler37_WP2_related_1.jpg,Filler37_WP2_unrelated_2.jpg,Filler37_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Sekretärin wisperte den Gossip:
57,17,filler,SocStat,1,high,high,match,yes,Meine Kollegin*schimpft*ständig*über den Erzieherberuf.,"Ich*vermute,*dass*die Aktion*wegen der vollen Kita*zugelassen ist.",a,Filler17_socstat_unrelated_2.jpg,Filler17_socstat_related_2.jpg,Filler17_socstat_related_1.jpg,Filler17_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Meine Kollegin schimpft ständig über den Erzieherberuf.
