trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
61,105,25,filler,WP2,7,high,high,match,yes,Der*Publizist*korrespondierte*&Uuml;ber*das*Essay:,Der*Kunstreiter*inspizierte*den*Ringk&auml;mpfer.,g,Filler25_WP2_unrelated_2.jpg,Filler25_WP2_unrelated_1.jpg,Filler25_WP2_related_1.jpg,Filler25_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Publizist korrespondierte &Uuml;ber das Essay:
62,40,40,critical,WP1,6,high,low,mismatch,no,Leger*verweilend*ersinnt*Sabine:,Ich*trage*jetzt*meine*Absteige*in*der*Villa.,f,Pension-1.jpg,Schlappen-1.jpg,Absteige-1.jpg,Hausschuhe-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Leger verweilend ersinnt Sabine:
63,29,29,critical,WP1,4,high,low,mismatch,yes,Exzessiv*arrogant*intoniert*Annika:,Ich*rauche*bald*meine*Kippe*mit*einem*Freund.,d,Kneipe-1.jpg,Zigarre-1.jpg,Schaenke-1.jpg,Kippe-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Exzessiv arrogant intoniert Annika:
64,26,26,critical,WP1,4,high,low,mismatch,yes,Unerh&ouml;rt*wohlhabend*&auml;u&szlig;ert*Heike:,Ich*verkaufe*bald*meine*Bude*bei*der*Versteigerung.,d,Mauken-1.jpg,Residenz-1.jpg,Fuesse-1.jpg,Bude-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Unerh&ouml;rt wohlhabend &auml;u&szlig;ert Heike:
65,107,27,filler,WP2,8,high,high,match,no,Die*Landratten*quatschten*mit*dem*Seeb&auml;ren:,Der*Kapit&auml;n*verkohlen*den*General.,h,Filler27_socstat_related_2.jpg,Filler27_WP2_unrelated_1.jpg,Filler27_WP2_related_1.jpg,Filler27_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Landratten quatschten mit dem Seeb&auml;ren:
66,55,15,filler,SocStat,1,high,high,match,yes,Charlotte*schreibt*freiberuflich*f&Uuml;r*ein*Satiremagazin.,"Ich*ahne*dass,*die*Stimmung*wegen*der*fiesen*Beleidigung*schlecht*ist.",a,Filler15_socstat_related_1.jpg,Filler15_socstat_unrelated_2.jpg,Filler15_socstat_unrelated_1.jpg,Filler15_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Charlotte schreibt freiberuflich f&Uuml;r ein Satiremagazin.
67,20,20,critical,WP1,5,low,low,match,no,Aktiv*mit*dabei*protzt*Lukas:,Ich*serviere*jetzt*meinen*Wisch*auf*der*Terrasse.,e,Wisch-1.jpg,Antrag-1.jpg,Schampus-1.jpg,Champagner-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Aktiv mit dabei protzt Lukas:
68,118,38,filler,WP2,10,high,low,mismatch,no,Die*Olle*postete*den*Kram:,Der*Gendarm*schnappte*den*R&auml;uber.,j,Filler38_WP2_related_1.jpg,Filler15_socstat_related_2.jpg,Filler15_socstat_unrelated_2.jpg,Filler15_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Olle postete den Kram:
69,64,30,filler,SocStat,2,high,high,match,no,Jeder*Einwohner*bemerkt*die*Ver&auml;nderungen*in*Berlin.,"Ich*bin*sicher*dass,*der*Umbau*wegen*die*klare*Vorschrift*verz&ouml;gert*wird.",b,Filler30_socstat_unrelated_2.jpg,Filler30_socstat_unrelated_1.jpg,Filler30_socstat_related_2.jpg,Filler30_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Jeder Einwohner bemerkt die Ver&auml;nderungen in Berlin.
70,113,33,filler,WP2,9,high,low,mismatch,yes,Die*Repr&auml;sentanten*verifizierten*den*Eklat:,Der*S&auml;ufer*mobbte*den*Rowdy.,i,Filler33_WP2_related_2.jpg,Filler33_WP2_unrelated_2.jpg,Filler33_WP2_unrelated_1.jpg,Filler33_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Repr&auml;sentanten verifizierten den Eklat:
